sample_id,gmm_k3
ERR2209858,0
ERR2209859,0
ERR2209860,2
ERR2209861,2
ERR2209862,0
ERR2209863,0
ERR2209864,0
ERR2209865,2
ERR2209866,2
ERR2209867,0
ERR2209868,0
ERR2209869,0
ERR2209870,1
ERR2209871,0
ERR2209872,0
ERR2209873,1
ERR2209874,0
ERR2209875,0
ERR2209876,2
ERR2209877,1
ERR2209878,0
ERR2209879,2
ERR2209880,0
ERR2209881,0
ERR2209882,0
ERR2209883,0
ERR2209884,1
ERR2209885,0
ERR2209886,0
ERR2209887,0
ERR2209888,0
ERR2209889,1
ERR2209890,0
ERR2209891,0
ERR2209892,0
ERR2209893,0
ERR2209894,1
ERR2209895,0
ERR2209896,0
ERR2209897,0
ERR2209898,0
ERR2209899,0
ERR2209900,0
ERR2209901,0
ERR2209902,1
ERR2209903,1
ERR2209904,0
ERR2209905,0
ERR2209906,1
ERR2209907,0
ERR2209908,0
ERR2209909,0
ERR2209910,0
ERR2209911,0
ERR2209912,0
ERR2209913,1
ERR2209914,0
ERR2209915,0
ERR2209916,1
ERR2209917,0
ERR2209918,1
ERR2209919,0
ERR2209920,1
ERR2209921,0
ERR2209922,0
ERR2209923,0
ERR2209924,1
ERR2209925,0
ERR2209926,0
ERR2209927,1
ERR2209928,0
ERR2209929,1
ERR2209930,0
ERR2209931,0
ERR2209932,0
